restorer,service,works,planned,in_progress,done,nearest_due
Семенова Алина Петровна,Диагностика,2,0,0,1,
Смирнов Павел Олегович,Замена подставки,1,0,0,1,
Зайцева Дарья Андреевна,Перетяжка струн,1,1,0,0,2026-09-22
Смирнов Павел Олегович,Склейка трещины деки,1,0,1,0,2026-09-20
Козлов Андрей Викторович,Переклейка обечайки,1,0,1,0,2026-09-22
Зайцева Дарья Андреевна,Замена колков,1,0,0,1,
Попова Наталья Юрьевна,Реставрация лака,1,0,0,1,
Волкова Елена Игоревна,Регулировка грифа,1,1,0,0,2026-09-25
Васильев Игорь Сергеевич,Склейка трещины деки,1,1,0,0,2026-10-01
Павлов Роман Евгеньевич,Замена подставки,1,1,0,0,2026-09-20
